employee_id,seniority,salary,promotion_score
2001.0,5.9,1561.0,3.76
2002.0,14.3,2531.0,7.22
2003.0,11.1,2157.0,7.85
2004.0,9.2,1918.0,6.79
2005.0,2.8,1111.0,9.25
2006.0,2.8,3304.0,5.44
2007.0,1.3,943.0,4.86
2008.0,13.1,2325.0,8.65
2009.0,9.2,1938.0,4.45
2010.0,10.8,2069.0,9.26
2011.0,0.8,968.0,9.8
2012.0,14.6,2626.0,1.2
2013.0,12.6,2381.0,3.28
2014.0,3.6,1230.0,8.79
2015.0,3.1,1124.0,6.43
2016.0,3.2,1255.0,9.45
2017.0,4.9,1394.0,3.48
2018.0,8.1,1848.0,6.6
2019.0,6.8,1691.0,9.3
2020.0,4.7,1425.0,6.4
2021.0,9.4,1916.0,7.09
2022.0,2.5,1100.0,7.52
2023.0,4.7,1425.0,5.95
2024.0,5.8,1487.0,7.08
2025.0,7.1,1624.0,6.8
2026.0,11.9,2250.0,8.86
2027.0,3.4,1280.0,3.3
2028.0,8.0,1800.0,4.83
2029.0,9.1,1916.0,9.18
2030.0,1.2,907.0,8.79
2031.0,9.3,6033.0,5.96
2032.0,3.0,1239.0,7.03
2033.0,1.4,936.0,4.8
2034.0,14.3,2533.0,4.22
2035.0,14.5,2604.0,6.01
2036.0,12.2,2310.0,5.3
2037.0,4.9,1429.0,6.79
2038.0,1.9,1069.0,3.51
2039.0,10.4,2045.0,9.33
2040.0,6.9,1616.0,9.41
2041.0,2.3,1131.0,7.54
2042.0,7.7,1779.0,6.48
2043.0,1.0,983.0,5.01
2044.0,13.7,2513.0,8.29
2045.0,4.3,1332.0,7.45
2046.0,10.1,2027.0,4.06
2047.0,5.0,1454.0,8.92
2048.0,8.0,1794.0,8.35
2049.0,8.4,1849.0,9.17
2050.0,3.2,1237.0,7.72
2051.0,14.6,2618.0,6.99
2052.0,11.7,2198.0,5.72
2053.0,14.1,2491.0,9.06
2054.0,13.5,2382.0,8.63
2055.0,9.2,1929.0,3.29
2056.0,13.9,2423.0,3.17
2057.0,1.8,1027.0,5.45
2058.0,3.3,1217.0,8.27
2059.0,1.2,931.0,9.42
2060.0,5.2,1451.0,3.98
2061.0,6.1,1486.0,6.86
2062.0,4.4,1283.0,5.48
2063.0,12.5,2357.0,9.3
2064.0,5.7,1481.0,8.47
2065.0,4.6,1319.0,8.45
2066.0,8.4,1826.0,6.05
2067.0,2.5,1150.0,5.7
2068.0,12.1,2230.0,4.78
2069.0,1.6,1023.0,3.37
2070.0,14.8,2537.0,8.62
2071.0,11.7,2161.0,8.28
2072.0,3.4,1227.0,9.5
2073.0,0.6,892.0,9.48
2074.0,12.3,2309.0,6.61
2075.0,10.7,2128.0,8.0
2076.0,11.1,2209.0,9.14
2077.0,11.7,2221.0,8.52
2078.0,1.6,984.0,4.61
2079.0,5.7,1537.0,5.93
2080.0,2.2,1049.0,3.84
2081.0,13.0,2367.0,9.2
2082.0,9.5,1900.0,6.94
2083.0,5.3,1389.0,4.49
2084.0,1.4,1043.0,7.37
2085.0,5.0,1459.0,7.02
2086.0,5.2,1464.0,5.33
2087.0,11.1,2135.0,3.74
2088.0,9.7,1937.0,7.37
2089.0,13.4,2378.0,6.38
2090.0,7.3,1659.0,8.02
2091.0,2.2,380.0,6.38
2092.0,10.8,2139.0,8.54
2093.0,11.5,2216.0,6.59
2094.0,8.6,1818.0,6.65
2095.0,11.7,2278.0,8.7
2096.0,7.7,1770.0,5.62
2097.0,8.1,1794.0,3.87
2098.0,6.7,1634.0,3.19
2099.0,0.9,913.0,7.91
2100.0,2.1,1034.0,7.03
2101.0,1.0,916.0,7.58
2102.0,9.7,2013.0,4.38
2103.0,5.1,1364.0,3.89
2104.0,7.9,1713.0,3.09
2105.0,13.7,2400.0,5.28
2106.0,4.1,1247.0,6.83
2107.0,6.5,1641.0,5.55
2108.0,11.5,2221.0,5.84
2109.0,3.8,1268.0,8.88
2110.0,1.6,955.0,5.26
2111.0,4.7,1378.0,6.34
2112.0,2.8,1148.0,8.09
2113.0,14.0,2453.0,5.58
2114.0,12.2,2270.0,7.04
2115.0,9.7,1966.0,8.61
2116.0,13.1,2402.0,9.17
2117.0,12.2,2297.0,3.96
2118.0,3.2,1140.0,9.02
2119.0,13.4,2407.0,6.2
2120.0,8.3,1827.0,4.68
