employee_id,seniority,salary,promotion_score
3001.0,12.2,2361.0,5.71
3002.0,13.5,2576.0,9.36
3003.0,5.1,1459.0,5.95
3004.0,2.1,1004.0,4.8
3005.0,3.8,1213.0,6.93
3006.0,6.7,1665.0,4.18
3007.0,12.4,2325.0,3.03
3008.0,13.0,2476.0,3.4
3009.0,0.6,2275.0,3.4
3010.0,7.9,1812.0,3.56
3011.0,6.6,1618.0,3.47
3012.0,3.7,1275.0,6.99
3013.0,2.2,1056.0,3.77
3014.0,5.4,1483.0,4.92
3015.0,14.2,2678.0,8.78
3016.0,5.2,1436.0,9.9
3017.0,8.0,1875.0,0.8
3018.0,10.7,2219.0,3.71
3019.0,5.8,1489.0,3.85
3020.0,14.6,2617.0,2.79
3021.0,14.5,2608.0,3.68
3022.0,4.2,1258.0,4.45
3023.0,7.7,1723.0,3.74
3024.0,4.9,1436.0,3.12
3025.0,4.6,1317.0,3.34
3026.0,1.0,881.0,5.73
3027.0,9.3,2029.0,3.94
3028.0,7.8,1727.0,5.05
3029.0,1.2,972.0,6.02
3030.0,4.5,1332.0,7.33
3031.0,13.7,2506.0,2.78
3032.0,4.0,1321.0,8.1
3033.0,2.6,1130.0,6.9
3034.0,7.6,1812.0,3.07
3035.0,14.8,2730.0,8.62
3036.0,4.0,1334.0,8.95
3037.0,10.2,2073.0,2.93
3038.0,11.5,2228.0,4.44
3039.0,3.9,1315.0,8.14
3040.0,11.1,2258.0,7.74
3041.0,5.8,1593.0,3.79
3042.0,9.7,2025.0,3.97
3043.0,9.7,2019.0,5.09
3044.0,8.3,1890.0,5.89
3045.0,1.8,988.0,6.83
3046.0,12.6,2469.0,5.08
3047.0,5.2,1498.0,5.74
3048.0,3.2,1182.0,7.73
3049.0,1.1,951.0,2.76
3050.0,9.1,1991.0,4.27
3051.0,10.3,6186.0,7.49
3052.0,0.7,918.0,8.77
3053.0,7.9,1803.0,6.08
3054.0,3.8,1311.0,6.22
3055.0,9.9,2039.0,3.25
3056.0,3.0,1216.0,5.63
3057.0,10.5,2126.0,6.23
3058.0,6.1,1504.0,4.2
3059.0,14.1,2661.0,4.38
3060.0,2.5,1047.0,5.14
3061.0,5.4,1454.0,2.64
3062.0,2.1,1107.0,4.75
3063.0,13.9,2641.0,3.98
3064.0,13.2,2501.0,4.79
3065.0,4.2,1338.0,3.34
3066.0,10.1,2081.0,8.73
3067.0,12.3,2347.0,6.66
3068.0,8.6,1871.0,7.25
3069.0,8.2,1863.0,8.02
3070.0,4.0,1328.0,5.99
3071.0,1.8,419.0,3.11
3072.0,13.5,2568.0,6.26
3073.0,13.6,2490.0,6.61
3074.0,9.7,2035.0,7.72
3075.0,5.4,1419.0,5.52
3076.0,5.6,1509.0,3.39
3077.0,11.0,2197.0,4.49
3078.0,13.5,2580.0,5.04
3079.0,13.4,2498.0,7.02
3080.0,11.8,2259.0,6.5
3081.0,9.8,2003.0,4.99
3082.0,1.7,1030.0,9.41
3083.0,2.8,1154.0,6.74
3084.0,13.5,2478.0,4.16
3085.0,9.3,1930.0,3.21
3086.0,0.6,879.0,3.57
3087.0,2.0,979.0,4.22
3088.0,10.1,2130.0,3.62
3089.0,0.6,880.0,3.81
3090.0,2.8,1085.0,4.5
3091.0,8.5,1826.0,3.71
3092.0,10.5,2203.0,8.78
3093.0,10.0,2059.0,3.06
3094.0,3.8,1252.0,6.17
3095.0,10.8,2220.0,5.37
3096.0,3.9,1340.0,9.38
3097.0,5.2,1514.0,3.28
3098.0,11.3,2277.0,5.28
3099.0,9.9,2046.0,9.29
3100.0,12.8,2385.0,8.56
3101.0,10.0,2111.0,8.22
3102.0,8.7,1914.0,4.31
3103.0,1.9,1012.0,3.7
3104.0,5.8,1582.0,7.18
3105.0,4.3,1283.0,9.01
3106.0,4.0,1294.0,6.4
3107.0,14.6,2609.0,6.5
3108.0,6.2,1577.0,4.46
3109.0,13.4,2459.0,7.89
3110.0,9.7,1986.0,3.81
