ma_nv,nhom,thamnien,luong,diem_thang_tien,nhom_thamnien,tien_nang_cao,thu_nhap_cao
2001,A,5.900000,1561.000000,3.760000,trung,không,không
2002,A,14.300000,2531.000000,7.220000,cao,không,có
2003,A,11.100000,2157.000000,7.850000,cao,không,không
2004,A,9.200000,1918.000000,6.790000,trung,không,không
2005,A,2.800000,1111.000000,9.250000,thấp,có,không
2006,A,2.800000,3304.000000,5.440000,thấp,không,có
2007,A,1.300000,943.000000,4.860000,thấp,không,không
2008,A,13.100000,2325.000000,8.650000,cao,có,có
2009,A,9.200000,1938.000000,4.450000,trung,không,không
2010,A,10.800000,2069.000000,9.260000,cao,có,không
2011,A,0.800000,968.000000,9.800000,thấp,có,không
2012,A,14.600000,2626.000000,1.200000,cao,không,có
2013,A,12.600000,2381.000000,3.280000,cao,không,có
2014,A,3.600000,1230.000000,8.790000,thấp,có,không
2015,A,3.100000,1124.000000,6.430000,thấp,không,không
2016,A,3.200000,1255.000000,9.450000,thấp,có,không
2017,A,4.900000,1394.000000,3.480000,trung,không,không
2018,A,8.100000,1848.000000,6.600000,trung,không,không
2019,A,6.800000,1691.000000,9.300000,trung,có,không
2020,A,4.700000,1425.000000,6.400000,thấp,không,không
2021,A,9.400000,1916.000000,7.090000,trung,không,không
2022,A,2.500000,1100.000000,7.520000,thấp,không,không
2023,A,4.700000,1425.000000,5.950000,thấp,không,không
2024,A,5.800000,1487.000000,7.080000,trung,không,không
2025,A,7.100000,1624.000000,6.800000,trung,không,không
2026,A,11.900000,2250.000000,8.860000,cao,có,có
2027,A,3.400000,1280.000000,3.300000,thấp,không,không
2028,A,8.000000,1800.000000,4.830000,trung,không,không
2029,A,9.100000,1916.000000,9.180000,trung,có,không
2030,A,1.200000,907.000000,8.790000,thấp,có,không
2031,A,9.300000,6033.000000,5.960000,trung,không,có
2032,A,3.000000,1239.000000,7.030000,thấp,không,không
2033,A,1.400000,936.000000,4.800000,thấp,không,không
2034,A,14.300000,2533.000000,4.220000,cao,không,có
2035,A,14.500000,2604.000000,6.010000,cao,không,có
2036,A,12.200000,2310.000000,5.300000,cao,không,có
2037,A,4.900000,1429.000000,6.790000,trung,không,không
2038,A,1.900000,1069.000000,3.510000,thấp,không,không
2039,A,10.400000,2045.000000,9.330000,cao,có,không
2040,A,6.900000,1616.000000,9.410000,trung,có,không
2041,A,2.300000,1131.000000,7.540000,thấp,không,không
2042,A,7.700000,1779.000000,6.480000,trung,không,không
2043,A,1.000000,983.000000,5.010000,thấp,không,không
2044,A,13.700000,2513.000000,8.290000,cao,có,có
2045,A,4.300000,1332.000000,7.450000,thấp,không,không
2046,A,10.100000,2027.000000,4.060000,cao,không,không
2047,A,5.000000,1454.000000,8.920000,trung,có,không
2048,A,8.000000,1794.000000,8.350000,trung,có,không
2049,A,8.400000,1849.000000,9.170000,trung,có,không
2050,A,3.200000,1237.000000,7.720000,thấp,không,không
2051,A,14.600000,2618.000000,6.990000,cao,không,có
2052,A,11.700000,2198.000000,5.720000,cao,không,không
2053,A,14.100000,2491.000000,9.060000,cao,có,có
2054,A,13.500000,2382.000000,8.630000,cao,có,có
2055,A,9.200000,1929.000000,3.290000,trung,không,không
2056,A,13.900000,2423.000000,3.170000,cao,không,có
2057,A,1.800000,1027.000000,5.450000,thấp,không,không
2058,A,3.300000,1217.000000,8.270000,thấp,có,không
2059,A,1.200000,931.000000,9.420000,thấp,có,không
2060,A,5.200000,1451.000000,3.980000,trung,không,không
2061,A,6.100000,1486.000000,6.860000,trung,không,không
2062,A,4.400000,1283.000000,5.480000,thấp,không,không
2063,A,12.500000,2357.000000,9.300000,cao,có,có
2064,A,5.700000,1481.000000,8.470000,trung,có,không
2065,A,4.600000,1319.000000,8.450000,thấp,có,không
2066,A,8.400000,1826.000000,6.050000,trung,không,không
2067,A,2.500000,1150.000000,5.700000,thấp,không,không
2068,A,12.100000,2230.000000,4.780000,cao,không,có
2069,A,1.600000,1023.000000,3.370000,thấp,không,không
2070,A,14.800000,2537.000000,8.620000,cao,có,có
2071,A,11.700000,2161.000000,8.280000,cao,có,không
2072,A,3.400000,1227.000000,9.500000,thấp,có,không
2073,A,0.600000,892.000000,9.480000,thấp,có,không
2074,A,12.300000,2309.000000,6.610000,cao,không,có
2075,A,10.700000,2128.000000,8.000000,cao,có,không
2076,A,11.100000,2209.000000,9.140000,cao,có,không
2077,A,11.700000,2221.000000,8.520000,cao,có,có
2078,A,1.600000,984.000000,4.610000,thấp,không,không
2079,A,5.700000,1537.000000,5.930000,trung,không,không
2080,A,2.200000,1049.000000,3.840000,thấp,không,không
2081,A,13.000000,2367.000000,9.200000,cao,có,có
2082,A,9.500000,1900.000000,6.940000,trung,không,không
2083,A,5.300000,1389.000000,4.490000,trung,không,không
2084,A,1.400000,1043.000000,7.370000,thấp,không,không
2085,A,5.000000,1459.000000,7.020000,trung,không,không
2086,A,5.200000,1464.000000,5.330000,trung,không,không
2087,A,11.100000,2135.000000,3.740000,cao,không,không
2088,A,9.700000,1937.000000,7.370000,trung,không,không
2089,A,13.400000,2378.000000,6.380000,cao,không,có
2090,A,7.300000,1659.000000,8.020000,trung,có,không
2091,A,2.200000,380.000000,6.380000,thấp,không,không
2092,A,10.800000,2139.000000,8.540000,cao,có,không
2093,A,11.500000,2216.000000,6.590000,cao,không,không
2094,A,8.600000,1818.000000,6.650000,trung,không,không
2095,A,11.700000,2278.000000,8.700000,cao,có,có
2096,A,7.700000,1770.000000,5.620000,trung,không,không
2097,A,8.100000,1794.000000,3.870000,trung,không,không
2098,A,6.700000,1634.000000,3.190000,trung,không,không
2099,A,0.900000,913.000000,7.910000,thấp,có,không
2100,A,2.100000,1034.000000,7.030000,thấp,không,không
2101,A,1.000000,916.000000,7.580000,thấp,không,không
2102,A,9.700000,2013.000000,4.380000,trung,không,không
2103,A,5.100000,1364.000000,3.890000,trung,không,không
2104,A,7.900000,1713.000000,3.090000,trung,không,không
2105,A,13.700000,2400.000000,5.280000,cao,không,có
2106,A,4.100000,1247.000000,6.830000,thấp,không,không
2107,A,6.500000,1641.000000,5.550000,trung,không,không
2108,A,11.500000,2221.000000,5.840000,cao,không,có
2109,A,3.800000,1268.000000,8.880000,thấp,có,không
2110,A,1.600000,955.000000,5.260000,thấp,không,không
2111,A,4.700000,1378.000000,6.340000,thấp,không,không
2112,A,2.800000,1148.000000,8.090000,thấp,có,không
2113,A,14.000000,2453.000000,5.580000,cao,không,có
2114,A,12.200000,2270.000000,7.040000,cao,không,có
2115,A,9.700000,1966.000000,8.610000,trung,có,không
2116,A,13.100000,2402.000000,9.170000,cao,có,có
2117,A,12.200000,2297.000000,3.960000,cao,không,có
2118,A,3.200000,1140.000000,9.020000,thấp,có,không
2119,A,13.400000,2407.000000,6.200000,cao,không,có
2120,A,8.300000,1827.000000,4.680000,trung,không,không
3001,B,12.200000,2361.000000,5.710000,cao,không,có
3002,B,13.500000,2576.000000,9.360000,cao,có,có
3003,B,5.100000,1459.000000,5.950000,trung,không,không
3004,B,2.100000,1004.000000,4.800000,thấp,không,không
3005,B,3.800000,1213.000000,6.930000,thấp,không,không
3006,B,6.700000,1665.000000,4.180000,trung,không,không
3007,B,12.400000,2325.000000,3.030000,cao,không,có
3008,B,13.000000,2476.000000,3.400000,cao,không,có
3009,B,0.600000,2275.000000,3.400000,thấp,không,có
